,n,classifier,cnn,Training accuracy,Test accuracy,Training recall,Test recall,Training precision,Test precision,Training f1 Score,Test f1 Score
2147,2147,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2148,2148,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.73,91.35,91.55,91.4,90.8
2149,2149,RANDON FOREST,restnasnetmobile,99.6,91.07,100.0,91.13,92.15,91.95,90.6,91.2
2150,2150,RANDON FOREST,restnasnetmobile,98.0,91.07,100.0,91.93,93.75,92.75,89.0,92.0
2151,2151,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,89.93,89.75,90.75,93.0,90.0
2152,2152,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2153,2153,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.43,90.75,91.25,92.0,90.5
2154,2154,RANDON FOREST,restnasnetmobile,99.0,91.07,100.0,91.43,92.75,92.25,90.0,91.5
2155,2155,RANDON FOREST,restnasnetmobile,99.8,91.07,100.0,91.03,91.95,91.85,90.8,91.1
2156,2156,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.83,91.55,91.65,91.2,90.9
2157,2157,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2158,2158,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.73,91.35,91.55,91.4,90.8
2159,2159,RANDON FOREST,restnasnetmobile,99.6,91.07,100.0,91.13,92.15,91.95,90.6,91.2
2160,2160,RANDON FOREST,restnasnetmobile,98.0,91.07,100.0,91.93,93.75,92.75,89.0,92.0
2161,2161,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,89.93,89.75,90.75,93.0,90.0
2162,2162,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2163,2163,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.43,90.75,91.25,92.0,90.5
2164,2164,RANDON FOREST,restnasnetmobile,99.0,91.07,100.0,91.43,92.75,92.25,90.0,91.5
2165,2165,RANDON FOREST,restnasnetmobile,99.8,91.07,100.0,91.03,91.95,91.85,90.8,91.1
2166,2166,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.83,91.55,91.65,91.2,90.9
2167,2167,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2168,2168,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.73,91.35,91.55,91.4,90.8
2169,2169,RANDON FOREST,restnasnetmobile,99.6,91.07,100.0,91.13,92.15,91.95,90.6,91.2
2170,2170,RANDON FOREST,restnasnetmobile,98.0,91.07,100.0,91.93,93.75,92.75,89.0,92.0
2171,2171,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,89.93,89.75,90.75,93.0,90.0
2172,2172,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2173,2173,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.43,90.75,91.25,92.0,90.5
2174,2174,RANDON FOREST,restnasnetmobile,99.0,91.07,100.0,91.43,92.75,92.25,90.0,91.5
2175,2175,RANDON FOREST,restnasnetmobile,99.8,91.07,100.0,91.03,91.95,91.85,90.8,91.1
2176,2176,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.83,91.55,91.65,91.2,90.9
2177,2177,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2178,2178,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.73,91.35,91.55,91.4,90.8
2179,2179,RANDON FOREST,restnasnetmobile,99.6,91.07,100.0,91.13,92.15,91.95,90.6,91.2
2180,2180,RANDON FOREST,restnasnetmobile,98.0,91.07,100.0,91.93,93.75,92.75,89.0,92.0
2181,2181,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,89.93,89.75,90.75,93.0,90.0
2182,2182,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2183,2183,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.43,90.75,91.25,92.0,90.5
2184,2184,RANDON FOREST,restnasnetmobile,99.0,91.07,100.0,91.43,92.75,92.25,90.0,91.5
2185,2185,RANDON FOREST,restnasnetmobile,99.8,91.07,100.0,91.03,91.95,91.85,90.8,91.1
2186,2186,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.83,91.55,91.65,91.2,90.9
2187,2187,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2188,2188,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.73,91.35,91.55,91.4,90.8
2189,2189,RANDON FOREST,restnasnetmobile,99.6,91.07,100.0,91.13,92.15,91.95,90.6,91.2
2190,2190,RANDON FOREST,restnasnetmobile,98.0,91.07,100.0,91.93,93.75,92.75,89.0,92.0
2191,2191,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,89.93,89.75,90.75,93.0,90.0
2192,2192,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2193,2193,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.43,90.75,91.25,92.0,90.5
2194,2194,RANDON FOREST,restnasnetmobile,99.0,91.07,100.0,91.43,92.75,92.25,90.0,91.5
2195,2195,RANDON FOREST,restnasnetmobile,99.8,91.07,100.0,91.03,91.95,91.85,90.8,91.1
2196,2196,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.83,91.55,91.65,91.2,90.9
2197,2197,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.93,91.75,91.75,91.0,91.0
2198,2198,RANDON FOREST,restnasnetmobile,100.0,91.07,100.0,90.73,91.35,91.55,91.4,90.8
2199,2199,RANDON FOREST,restnasnetmobile,99.6,91.07,100.0,91.13,92.15,91.95,90.6,91.2
2300,2300,SVMpoly,xception,97.47,90.07,99.49,89.28,88.89,91.89,93.0,89.0
2301,2301,SVMpoly,xception,99.47,92.07,97.49,93.28,92.89,89.89,89.0,93.0
2302,2302,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2303,2303,SVMpoly,xception,98.97,91.57,97.99,92.28,91.89,90.39,90.0,92.0
2304,2304,SVMpoly,xception,97.97,90.57,98.99,90.28,89.89,91.39,92.0,90.0
2305,2305,SVMpoly,xception,98.37,90.97,98.59,91.08,90.69,90.99,91.2,90.8
2306,2306,SVMpoly,xception,98.57,91.17,98.39,91.48,91.09,90.79,90.8,91.2
2307,2307,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2308,2308,SVMpoly,xception,98.67,91.27,98.29,91.68,91.29,90.69,90.6,91.4
2309,2309,SVMpoly,xception,98.27,90.87,98.69,90.88,90.49,91.09,91.4,90.6
2310,2310,SVMpoly,xception,97.47,90.07,99.49,89.28,88.89,91.89,93.0,89.0
2311,2311,SVMpoly,xception,99.47,92.07,97.49,93.28,92.89,89.89,89.0,93.0
2312,2312,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2313,2313,SVMpoly,xception,98.97,91.57,97.99,92.28,91.89,90.39,90.0,92.0
2314,2314,SVMpoly,xception,97.97,90.57,98.99,90.28,89.89,91.39,92.0,90.0
2315,2315,SVMpoly,xception,98.37,90.97,98.59,91.08,90.69,90.99,91.2,90.8
2316,2316,SVMpoly,xception,98.57,91.17,98.39,91.48,91.09,90.79,90.8,91.2
2317,2317,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2318,2318,SVMpoly,xception,98.67,91.27,98.29,91.68,91.29,90.69,90.6,91.4
2319,2319,SVMpoly,xception,98.27,90.87,98.69,90.88,90.49,91.09,91.4,90.6
2320,2320,SVMpoly,xception,97.47,90.07,99.49,89.28,88.89,91.89,93.0,89.0
2321,2321,SVMpoly,xception,99.47,92.07,97.49,93.28,92.89,89.89,89.0,93.0
2322,2322,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2323,2323,SVMpoly,xception,98.97,91.57,97.99,92.28,91.89,90.39,90.0,92.0
2324,2324,SVMpoly,xception,97.97,90.57,98.99,90.28,89.89,91.39,92.0,90.0
2325,2325,SVMpoly,xception,98.37,90.97,98.59,91.08,90.69,90.99,91.2,90.8
2326,2326,SVMpoly,xception,98.57,91.17,98.39,91.48,91.09,90.79,90.8,91.2
2327,2327,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2328,2328,SVMpoly,xception,98.67,91.27,98.29,91.68,91.29,90.69,90.6,91.4
2329,2329,SVMpoly,xception,98.27,90.87,98.69,90.88,90.49,91.09,91.4,90.6
2330,2330,SVMpoly,xception,97.47,90.07,99.49,89.28,88.89,91.89,93.0,89.0
2331,2331,SVMpoly,xception,99.47,92.07,97.49,93.28,92.89,89.89,89.0,93.0
2332,2332,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2333,2333,SVMpoly,xception,98.97,91.57,97.99,92.28,91.89,90.39,90.0,92.0
2334,2334,SVMpoly,xception,97.97,90.57,98.99,90.28,89.89,91.39,92.0,90.0
2335,2335,SVMpoly,xception,98.37,90.97,98.59,91.08,90.69,90.99,91.2,90.8
2336,2336,SVMpoly,xception,98.57,91.17,98.39,91.48,91.09,90.79,90.8,91.2
2337,2337,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2338,2338,SVMpoly,xception,98.67,91.27,98.29,91.68,91.29,90.69,90.6,91.4
2339,2339,SVMpoly,xception,98.27,90.87,98.69,90.88,90.49,91.09,91.4,90.6
2340,2340,SVMpoly,xception,97.47,90.07,99.49,89.28,88.89,91.89,93.0,89.0
2341,2341,SVMpoly,xception,99.47,92.07,97.49,93.28,92.89,89.89,89.0,93.0
2342,2342,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2343,2343,SVMpoly,xception,98.97,91.57,97.99,92.28,91.89,90.39,90.0,92.0
2344,2344,SVMpoly,xception,97.97,90.57,98.99,90.28,89.89,91.39,92.0,90.0
2345,2345,SVMpoly,xception,98.37,90.97,98.59,91.08,90.69,90.99,91.2,90.8
2346,2346,SVMpoly,xception,98.57,91.17,98.39,91.48,91.09,90.79,90.8,91.2
2347,2347,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2348,2348,SVMpoly,xception,98.67,91.27,98.29,91.68,91.29,90.69,90.6,91.4
2349,2349,SVMpoly,xception,98.27,90.87,98.69,90.88,90.49,91.09,91.4,90.6
2350,2350,SVMpoly,xception,97.47,90.07,99.49,89.28,88.89,91.89,93.0,89.0
2351,2351,SVMpoly,xception,99.47,92.07,97.49,93.28,92.89,89.89,89.0,93.0
2352,2352,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2353,2353,SVMpoly,xception,98.97,91.57,97.99,92.28,91.89,90.39,90.0,92.0
2354,2354,SVMpoly,xception,97.97,90.57,98.99,90.28,89.89,91.39,92.0,90.0
2355,2355,SVMpoly,xception,98.37,90.97,98.59,91.08,90.69,90.99,91.2,90.8
2356,2356,SVMpoly,xception,98.57,91.17,98.39,91.48,91.09,90.79,90.8,91.2
2357,2357,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2358,2358,SVMpoly,xception,98.67,91.27,98.29,91.68,91.29,90.69,90.6,91.4
2359,2359,SVMpoly,xception,98.27,90.87,98.69,90.88,90.49,91.09,91.4,90.6
2360,2360,SVMpoly,xception,97.47,90.07,99.49,89.28,88.89,91.89,93.0,89.0
2361,2361,SVMpoly,xception,99.47,92.07,97.49,93.28,92.89,89.89,89.0,93.0
2362,2362,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2363,2363,SVMpoly,xception,98.97,91.57,97.99,92.28,91.89,90.39,90.0,92.0
2364,2364,SVMpoly,xception,97.97,90.57,98.99,90.28,89.89,91.39,92.0,90.0
2365,2365,SVMpoly,xception,98.37,90.97,98.59,91.08,90.69,90.99,91.2,90.8
2366,2366,SVMpoly,xception,98.57,91.17,98.39,91.48,91.09,90.79,90.8,91.2
2367,2367,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2368,2368,SVMpoly,xception,98.67,91.27,98.29,91.68,91.29,90.69,90.6,91.4
2369,2369,SVMpoly,xception,98.27,90.87,98.69,90.88,90.49,91.09,91.4,90.6
2370,2370,SVMpoly,xception,97.47,90.07,99.49,89.28,88.89,91.89,93.0,89.0
2371,2371,SVMpoly,xception,99.47,92.07,97.49,93.28,92.89,89.89,89.0,93.0
2372,2372,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2373,2373,SVMpoly,xception,98.97,91.57,97.99,92.28,91.89,90.39,90.0,92.0
2374,2374,SVMpoly,xception,97.97,90.57,98.99,90.28,89.89,91.39,92.0,90.0
2375,2375,SVMpoly,xception,98.37,90.97,98.59,91.08,90.69,90.99,91.2,90.8
2376,2376,SVMpoly,xception,98.57,91.17,98.39,91.48,91.09,90.79,90.8,91.2
2377,2377,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2378,2378,SVMpoly,xception,98.67,91.27,98.29,91.68,91.29,90.69,90.6,91.4
2379,2379,SVMpoly,xception,98.27,90.87,98.69,90.88,90.49,91.09,91.4,90.6
2380,2380,SVMpoly,xception,97.47,90.07,99.49,89.28,88.89,91.89,93.0,89.0
2381,2381,SVMpoly,xception,99.47,92.07,97.49,93.28,92.89,89.89,89.0,93.0
2382,2382,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2383,2383,SVMpoly,xception,98.97,91.57,97.99,92.28,91.89,90.39,90.0,92.0
2384,2384,SVMpoly,xception,97.97,90.57,98.99,90.28,89.89,91.39,92.0,90.0
2385,2385,SVMpoly,xception,98.37,90.97,98.59,91.08,90.69,90.99,91.2,90.8
2386,2386,SVMpoly,xception,98.57,91.17,98.39,91.48,91.09,90.79,90.8,91.2
2387,2387,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2388,2388,SVMpoly,xception,98.67,91.27,98.29,91.68,91.29,90.69,90.6,91.4
2389,2389,SVMpoly,xception,98.27,90.87,98.69,90.88,90.49,91.09,91.4,90.6
2390,2390,SVMpoly,xception,97.47,90.07,99.49,89.28,88.89,91.89,93.0,89.0
2391,2391,SVMpoly,xception,99.47,92.07,97.49,93.28,92.89,89.89,89.0,93.0
2392,2392,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2393,2393,SVMpoly,xception,98.97,91.57,97.99,92.28,91.89,90.39,90.0,92.0
2394,2394,SVMpoly,xception,97.97,90.57,98.99,90.28,89.89,91.39,92.0,90.0
2395,2395,SVMpoly,xception,98.37,90.97,98.59,91.08,90.69,90.99,91.2,90.8
2396,2396,SVMpoly,xception,98.57,91.17,98.39,91.48,91.09,90.79,90.8,91.2
2397,2397,SVMpoly,xception,98.47,91.07,98.49,91.28,90.89,90.89,91.0,91.0
2398,2398,SVMpoly,xception,98.67,91.27,98.29,91.68,91.29,90.69,90.6,91.4
2399,2399,SVMpoly,xception,98.27,90.87,98.69,90.88,90.49,91.09,91.4,90.6
3700,3700,RANDON FOREST,efficientNetB1,100.0,87.5,98.0,90.02,88.51,88.51,87.0,86.0
3701,3701,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,86.02,86.51,86.51,87.0,88.0
3702,3702,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3703,3703,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.02,87.01,87.01,87.0,87.5
3704,3704,RANDON FOREST,efficientNetB1,100.0,87.5,99.0,89.02,88.01,88.01,87.0,86.5
3705,3705,RANDON FOREST,efficientNetB1,100.0,87.5,99.8,88.22,87.61,87.61,87.0,86.9
3706,3706,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.82,87.41000000000001,87.41000000000001,87.0,87.1
3707,3707,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3708,3708,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.61999999999999,87.31,87.31,87.0,87.2
3709,3709,RANDON FOREST,efficientNetB1,100.0,87.5,99.6,88.42,87.71000000000001,87.71000000000001,87.0,86.8
3710,3710,RANDON FOREST,efficientNetB1,100.0,87.5,98.0,90.02,88.51,88.51,87.0,86.0
3711,3711,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,86.02,86.51,86.51,87.0,88.0
3712,3712,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3713,3713,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.02,87.01,87.01,87.0,87.5
3714,3714,RANDON FOREST,efficientNetB1,100.0,87.5,99.0,89.02,88.01,88.01,87.0,86.5
3715,3715,RANDON FOREST,efficientNetB1,100.0,87.5,99.8,88.22,87.61,87.61,87.0,86.9
3716,3716,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.82,87.41000000000001,87.41000000000001,87.0,87.1
3717,3717,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3718,3718,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.61999999999999,87.31,87.31,87.0,87.2
3719,3719,RANDON FOREST,efficientNetB1,100.0,87.5,99.6,88.42,87.71000000000001,87.71000000000001,87.0,86.8
3720,3720,RANDON FOREST,efficientNetB1,100.0,87.5,98.0,90.02,88.51,88.51,87.0,86.0
3721,3721,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,86.02,86.51,86.51,87.0,88.0
3722,3722,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3723,3723,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.02,87.01,87.01,87.0,87.5
3724,3724,RANDON FOREST,efficientNetB1,100.0,87.5,99.0,89.02,88.01,88.01,87.0,86.5
3725,3725,RANDON FOREST,efficientNetB1,100.0,87.5,99.8,88.22,87.61,87.61,87.0,86.9
3726,3726,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.82,87.41000000000001,87.41000000000001,87.0,87.1
3727,3727,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3728,3728,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.61999999999999,87.31,87.31,87.0,87.2
3729,3729,RANDON FOREST,efficientNetB1,100.0,87.5,99.6,88.42,87.71000000000001,87.71000000000001,87.0,86.8
3730,3730,RANDON FOREST,efficientNetB1,100.0,87.5,98.0,90.02,88.51,88.51,87.0,86.0
3731,3731,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,86.02,86.51,86.51,87.0,88.0
3732,3732,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3733,3733,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.02,87.01,87.01,87.0,87.5
3734,3734,RANDON FOREST,efficientNetB1,100.0,87.5,99.0,89.02,88.01,88.01,87.0,86.5
3735,3735,RANDON FOREST,efficientNetB1,100.0,87.5,99.8,88.22,87.61,87.61,87.0,86.9
3736,3736,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.82,87.41000000000001,87.41000000000001,87.0,87.1
3737,3737,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3738,3738,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.61999999999999,87.31,87.31,87.0,87.2
3739,3739,RANDON FOREST,efficientNetB1,100.0,87.5,99.6,88.42,87.71000000000001,87.71000000000001,87.0,86.8
3740,3740,RANDON FOREST,efficientNetB1,100.0,87.5,98.0,90.02,88.51,88.51,87.0,86.0
3741,3741,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,86.02,86.51,86.51,87.0,88.0
3742,3742,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3743,3743,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.02,87.01,87.01,87.0,87.5
3744,3744,RANDON FOREST,efficientNetB1,100.0,87.5,99.0,89.02,88.01,88.01,87.0,86.5
3745,3745,RANDON FOREST,efficientNetB1,100.0,87.5,99.8,88.22,87.61,87.61,87.0,86.9
3746,3746,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.82,87.41000000000001,87.41000000000001,87.0,87.1
3747,3747,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3748,3748,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.61999999999999,87.31,87.31,87.0,87.2
3749,3749,RANDON FOREST,efficientNetB1,100.0,87.5,99.6,88.42,87.71000000000001,87.71000000000001,87.0,86.8
3750,3750,RANDON FOREST,efficientNetB1,100.0,87.5,98.0,90.02,88.51,88.51,87.0,86.0
3751,3751,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,86.02,86.51,86.51,87.0,88.0
3752,3752,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3753,3753,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.02,87.01,87.01,87.0,87.5
3754,3754,RANDON FOREST,efficientNetB1,100.0,87.5,99.0,89.02,88.01,88.01,87.0,86.5
3755,3755,RANDON FOREST,efficientNetB1,100.0,87.5,99.8,88.22,87.61,87.61,87.0,86.9
3756,3756,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.82,87.41000000000001,87.41000000000001,87.0,87.1
3757,3757,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3758,3758,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.61999999999999,87.31,87.31,87.0,87.2
3759,3759,RANDON FOREST,efficientNetB1,100.0,87.5,99.6,88.42,87.71000000000001,87.71000000000001,87.0,86.8
3760,3760,RANDON FOREST,efficientNetB1,100.0,87.5,98.0,90.02,88.51,88.51,87.0,86.0
3761,3761,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,86.02,86.51,86.51,87.0,88.0
3762,3762,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3763,3763,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.02,87.01,87.01,87.0,87.5
3764,3764,RANDON FOREST,efficientNetB1,100.0,87.5,99.0,89.02,88.01,88.01,87.0,86.5
3765,3765,RANDON FOREST,efficientNetB1,100.0,87.5,99.8,88.22,87.61,87.61,87.0,86.9
3766,3766,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.82,87.41000000000001,87.41000000000001,87.0,87.1
3767,3767,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3768,3768,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.61999999999999,87.31,87.31,87.0,87.2
3769,3769,RANDON FOREST,efficientNetB1,100.0,87.5,99.6,88.42,87.71000000000001,87.71000000000001,87.0,86.8
3770,3770,RANDON FOREST,efficientNetB1,100.0,87.5,98.0,90.02,88.51,88.51,87.0,86.0
3771,3771,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,86.02,86.51,86.51,87.0,88.0
3772,3772,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3773,3773,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.02,87.01,87.01,87.0,87.5
3774,3774,RANDON FOREST,efficientNetB1,100.0,87.5,99.0,89.02,88.01,88.01,87.0,86.5
3775,3775,RANDON FOREST,efficientNetB1,100.0,87.5,99.8,88.22,87.61,87.61,87.0,86.9
3776,3776,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.82,87.41000000000001,87.41000000000001,87.0,87.1
3777,3777,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3778,3778,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.61999999999999,87.31,87.31,87.0,87.2
3779,3779,RANDON FOREST,efficientNetB1,100.0,87.5,99.6,88.42,87.71000000000001,87.71000000000001,87.0,86.8
3780,3780,RANDON FOREST,efficientNetB1,100.0,87.5,98.0,90.02,88.51,88.51,87.0,86.0
3781,3781,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,86.02,86.51,86.51,87.0,88.0
3782,3782,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3783,3783,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.02,87.01,87.01,87.0,87.5
3784,3784,RANDON FOREST,efficientNetB1,100.0,87.5,99.0,89.02,88.01,88.01,87.0,86.5
3785,3785,RANDON FOREST,efficientNetB1,100.0,87.5,99.8,88.22,87.61,87.61,87.0,86.9
3786,3786,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.82,87.41000000000001,87.41000000000001,87.0,87.1
3787,3787,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3788,3788,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.61999999999999,87.31,87.31,87.0,87.2
3789,3789,RANDON FOREST,efficientNetB1,100.0,87.5,99.6,88.42,87.71000000000001,87.71000000000001,87.0,86.8
3790,3790,RANDON FOREST,efficientNetB1,100.0,87.5,98.0,90.02,88.51,88.51,87.0,86.0
3791,3791,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,86.02,86.51,86.51,87.0,88.0
3792,3792,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3793,3793,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.02,87.01,87.01,87.0,87.5
3794,3794,RANDON FOREST,efficientNetB1,100.0,87.5,99.0,89.02,88.01,88.01,87.0,86.5
3795,3795,RANDON FOREST,efficientNetB1,100.0,87.5,99.8,88.22,87.61,87.61,87.0,86.9
3796,3796,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.82,87.41000000000001,87.41000000000001,87.0,87.1
3797,3797,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,88.02,87.51,87.51,87.0,87.0
3798,3798,RANDON FOREST,efficientNetB1,100.0,87.5,100.0,87.61999999999999,87.31,87.31,87.0,87.2
3799,3799,RANDON FOREST,efficientNetB1,100.0,87.5,99.6,88.42,87.71000000000001,87.71000000000001,87.0,86.8
5600,5600,RANDON FOREST,inceptionResNetV2,100.0,80.36,99.0,80.5,84.15,83.15,82.0,82.0
5601,5601,RANDON FOREST,inceptionResNetV2,100.0,80.36,100.0,82.5,80.15,81.15,80.0,80.0
5602,5602,RANDON FOREST,inceptionResNetV2,100.0,80.36,100.0,81.5,82.15,82.15,81.0,81.0
5603,5603,RANDON FOREST,inceptionResNetV2,100.0,80.36,100.0,82.0,81.15,81.65,80.5,80.5
5604,5604,RANDON FOREST,inceptionResNetV2,100.0,80.36,99.5,81.0,83.15,82.65,81.5,81.5
5605,5605,RANDON FOREST,inceptionResNetV2,100.0,80.36,99.9,81.4,82.35000000000001,82.25,81.1,81.1
5606,5606,RANDON FOREST,inceptionResNetV2,100.0,80.36,100.0,81.6,81.95,82.05000000000001,80.9,80.9
5607,5607,RANDON FOREST,inceptionResNetV2,100.0,80.36,100.0,81.5,82.15,82.15,81.0,81.0
